movieId,title,genres,clean_title,clean_genres,imdbId,tmdbId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Toy Story,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",0114709,862.0
2,Jumanji (1995),Adventure|Children|Fantasy,Jumanji,"['Adventure', 'Children', 'Fantasy']",0113497,8844.0
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men,"['Comedy', 'Romance']",0113228,15602.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",0114885,31357.0
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II,['Comedy'],0113041,11862.0
6,Heat (1995),Action|Crime|Thriller,Heat,"['Action', 'Crime', 'Thriller']",0113277,949.0
7,Sabrina (1995),Comedy|Romance,Sabrina,"['Comedy', 'Romance']",0114319,11860.0
8,Tom and Huck (1995),Adventure|Children,Tom and Huck,"['Adventure', 'Children']",0112302,45325.0
9,Sudden Death (1995),Action,Sudden Death,['Action'],0114576,9091.0
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye,"['Action', 'Adventure', 'Thriller']",0113189,710.0
11,"American President, The (1995)",Comedy|Drama|Romance,American President,"['Comedy', 'Drama', 'Romance']",0112346,9087.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It,"['Comedy', 'Horror']",0112896,12110.0
13,Balto (1995),Adventure|Animation|Children,Balto,"['Adventure', 'Animation', 'Children']",0112453,21032.0
14,Nixon (1995),Drama,Nixon,['Drama'],0113987,10858.0
15,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island,"['Action', 'Adventure', 'Romance']",0112760,1408.0
16,Casino (1995),Crime|Drama,Casino,"['Crime', 'Drama']",0112641,524.0
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility,"['Drama', 'Romance']",0114388,4584.0
18,Four Rooms (1995),Comedy,Four Rooms,['Comedy'],0113101,5.0
19,Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura: When Nature Calls,['Comedy'],0112281,9273.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Money Train,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",0113845,11517.0
21,Get Shorty (1995),Comedy|Crime|Thriller,Get Shorty,"['Comedy', 'Crime', 'Thriller']",0113161,8012.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Copycat,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",0112722,1710.0
23,Assassins (1995),Action|Crime|Thriller,Assassins,"['Action', 'Crime', 'Thriller']",0112401,9691.0
24,Powder (1995),Drama|Sci-Fi,Powder,"['Drama', 'Sci-Fi']",0114168,12665.0
25,Leaving Las Vegas (1995),Drama|Romance,Leaving Las Vegas,"['Drama', 'Romance']",0113627,451.0
26,Othello (1995),Drama,Othello,['Drama'],0114057,16420.0
27,Now and Then (1995),Children|Drama,Now and Then,"['Children', 'Drama']",0114011,9263.0
28,Persuasion (1995),Drama|Romance,Persuasion,"['Drama', 'Romance']",0114117,17015.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"City of Lost Children, The (Cité des enfants perdus, La)","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",0112682,902.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Shanghai Triad (Yao a yao yao dao waipo qiao),"['Crime', 'Drama']",0115012,37557.0
31,Dangerous Minds (1995),Drama,Dangerous Minds,['Drama'],0112792,9909.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Twelve Monkeys (a.k.a. 12 Monkeys),"['Mystery', 'Sci-Fi', 'Thriller']",0114746,63.0
34,Babe (1995),Children|Drama,Babe,"['Children', 'Drama']",0112431,9598.0
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking,"['Crime', 'Drama']",0112818,687.0
38,It Takes Two (1995),Children|Comedy,It Takes Two,"['Children', 'Comedy']",0113442,33689.0
39,Clueless (1995),Comedy|Romance,Clueless,"['Comedy', 'Romance']",0112697,9603.0
40,"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country",['Drama'],0112749,34615.0
41,Richard III (1995),Drama|War,Richard III,"['Drama', 'War']",0114279,31174.0
42,Dead Presidents (1995),Action|Crime|Drama,Dead Presidents,"['Action', 'Crime', 'Drama']",0112819,11443.0
43,Restoration (1995),Drama,Restoration,['Drama'],0114272,35196.0
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Mortal Kombat,"['Action', 'Adventure', 'Fantasy']",0113855,9312.0
45,To Die For (1995),Comedy|Drama|Thriller,To Die For,"['Comedy', 'Drama', 'Thriller']",0114681,577.0
46,How to Make an American Quilt (1995),Drama|Romance,How to Make an American Quilt,"['Drama', 'Romance']",0113347,11861.0
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Seven (a.k.a. Se7en),"['Mystery', 'Thriller']",0114369,807.0
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Pocahontas,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",0114148,10530.0
49,When Night Is Falling (1995),Drama|Romance,When Night Is Falling,"['Drama', 'Romance']",0114916,8391.0
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Usual Suspects,"['Crime', 'Mystery', 'Thriller']",0114814,629.0
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Mighty Aphrodite,"['Comedy', 'Drama', 'Romance']",0113819,11448.0
53,Lamerica (1994),Adventure|Drama,Lamerica,"['Adventure', 'Drama']",0110299,49133.0
54,"Big Green, The (1995)",Children|Comedy,Big Green,"['Children', 'Comedy']",0112499,26441.0
55,Georgia (1995),Drama,Georgia,['Drama'],0113158,97406.0
57,Home for the Holidays (1995),Drama,Home for the Holidays,['Drama'],0113321,9089.0
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"Postman, The (Postino, Il)","['Comedy', 'Drama', 'Romance']",0110877,11010.0
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Indian in the Cupboard,"['Adventure', 'Children', 'Fantasy']",0113419,11359.0
61,Eye for an Eye (1996),Drama|Thriller,Eye for an Eye,"['Drama', 'Thriller']",0116260,17182.0
62,Mr. Holland's Opus (1995),Drama,Mr. Holland's Opus,['Drama'],0113862,2054.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['Comedy', 'Crime']",0116126,10607.0
64,Two if by Sea (1996),Comedy|Romance,Two if by Sea,"['Comedy', 'Romance']",0118002,19760.0
65,Bio-Dome (1996),Comedy,Bio-Dome,['Comedy'],0115683,9536.0
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace,"['Action', 'Sci-Fi', 'Thriller']",0116839,11525.0
68,French Twist (Gazon maudit) (1995),Comedy|Romance,French Twist (Gazon maudit),"['Comedy', 'Romance']",0113149,4482.0
69,Friday (1995),Comedy,Friday,['Comedy'],0113118,10634.0
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,From Dusk Till Dawn,"['Action', 'Comedy', 'Horror', 'Thriller']",0116367,755.0
71,Fair Game (1995),Action,Fair Game,['Action'],0113010,11859.0
72,Kicking and Screaming (1995),Comedy|Drama,Kicking and Screaming,"['Comedy', 'Drama']",0113537,28387.0
73,"Misérables, Les (1995)",Drama|War,"Misérables, Les","['Drama', 'War']",0113828,48750.0
74,Bed of Roses (1996),Drama|Romance,Bed of Roses,"['Drama', 'Romance']",0115644,20927.0
75,Big Bully (1996),Comedy|Drama,Big Bully,"['Comedy', 'Drama']",0115676,36929.0
76,Screamers (1995),Action|Sci-Fi|Thriller,Screamers,"['Action', 'Sci-Fi', 'Thriller']",0114367,9102.0
77,Nico Icon (1995),Documentary,Nico Icon,['Documentary'],0113973,124626.0
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Crossing Guard,"['Action', 'Crime', 'Drama', 'Thriller']",0112744,27526.0
79,"Juror, The (1996)",Drama|Thriller,Juror,"['Drama', 'Thriller']",0116731,9623.0
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,"White Balloon, The (Badkonake sefid)","['Children', 'Drama']",0112445,46785.0
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Things to Do in Denver When You're Dead,"['Crime', 'Drama', 'Romance']",0114660,400.0
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Antonia's Line (Antonia),"['Comedy', 'Drama']",0112379,880.0
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Once Upon a Time... When We Were Colored,"['Drama', 'Romance']",0114039,146599.0
85,Angels and Insects (1995),Drama|Romance,Angels and Insects,"['Drama', 'Romance']",0112365,8447.0
86,White Squall (1996),Action|Adventure|Drama,White Squall,"['Action', 'Adventure', 'Drama']",0118158,10534.0
87,Dunston Checks In (1996),Children|Comedy,Dunston Checks In,"['Children', 'Comedy']",0116151,17414.0
88,Black Sheep (1996),Comedy,Black Sheep,['Comedy'],0115697,13997.0
89,Nick of Time (1995),Action|Thriller,Nick of Time,"['Action', 'Thriller']",0113972,2086.0
92,Mary Reilly (1996),Drama|Horror|Thriller,Mary Reilly,"['Drama', 'Horror', 'Thriller']",0117002,9095.0
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Vampire in Brooklyn,"['Comedy', 'Horror', 'Romance']",0114825,12158.0
94,Beautiful Girls (1996),Comedy|Drama|Romance,Beautiful Girls,"['Comedy', 'Drama', 'Romance']",0115639,9283.0
95,Broken Arrow (1996),Action|Adventure|Thriller,Broken Arrow,"['Action', 'Adventure', 'Thriller']",0115759,9208.0
96,In the Bleak Midwinter (1995),Comedy|Drama,In the Bleak Midwinter,"['Comedy', 'Drama']",0113403,40154.0
97,"Hate (Haine, La) (1995)",Crime|Drama,"Hate (Haine, La)","['Crime', 'Drama']",0113247,406.0
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Heidi Fleiss: Hollywood Madam,['Documentary'],0113283,63076.0
100,City Hall (1996),Drama|Thriller,City Hall,"['Drama', 'Thriller']",0115907,11062.0
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Bottle Rocket,"['Adventure', 'Comedy', 'Crime', 'Romance']",0115734,13685.0
102,Mr. Wrong (1996),Comedy,Mr. Wrong,['Comedy'],0117102,47475.0
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Unforgettable,"['Mystery', 'Sci-Fi', 'Thriller']",0118040,2045.0
104,Happy Gilmore (1996),Comedy,Happy Gilmore,['Comedy'],0116483,9614.0
105,"Bridges of Madison County, The (1995)",Drama|Romance,Bridges of Madison County,"['Drama', 'Romance']",0112579,688.0
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Nobody Loves Me (Keiner liebt mich),"['Comedy', 'Drama']",0110251,11907.0
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Muppet Treasure Island,"['Adventure', 'Children', 'Comedy', 'Musical']",0117110,10874.0
108,Catwalk (1996),Documentary,Catwalk,['Documentary'],0112646,89333.0
110,Braveheart (1995),Action|Drama|War,Braveheart,"['Action', 'Drama', 'War']",0112573,197.0
111,Taxi Driver (1976),Crime|Drama|Thriller,Taxi Driver,"['Crime', 'Drama', 'Thriller']",0075314,103.0
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Rumble in the Bronx (Hont faan kui),"['Action', 'Adventure', 'Comedy', 'Crime']",0113326,33542.0
113,Before and After (1996),Drama|Mystery,Before and After,"['Drama', 'Mystery']",0115645,43566.0
116,Anne Frank Remembered (1995),Documentary,Anne Frank Remembered,['Documentary'],0112373,51352.0
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,Young Poisoner's Handbook,"['Crime', 'Drama']",0115033,16934.0
118,If Lucy Fell (1996),Comedy|Romance,If Lucy Fell,"['Comedy', 'Romance']",0116606,10324.0
119,"Steal Big, Steal Little (1995)",Comedy,"Steal Big, Steal Little",['Comedy'],0114536,78406.0
121,"Boys of St. Vincent, The (1992)",Drama,Boys of St. Vincent,['Drama'],0106473,32119.0
122,Boomerang (1992),Comedy|Romance,Boomerang,"['Comedy', 'Romance']",0103859,11066.0
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Chungking Express (Chung Hing sam lam),"['Drama', 'Mystery', 'Romance']",0109424,11104.0
125,Flirting With Disaster (1996),Comedy,Flirting With Disaster,['Comedy'],0116324,2074.0
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,NeverEnding Story III,"['Adventure', 'Children', 'Fantasy']",0110647,27793.0
128,Jupiter's Wife (1994),Documentary,Jupiter's Wife,['Documentary'],0110217,290157.0
129,Pie in the Sky (1996),Comedy|Romance,Pie in the Sky,"['Comedy', 'Romance']",0114131,110972.0
132,Jade (1995),Thriller,Jade,['Thriller'],0113451,11863.0
135,Down Periscope (1996),Comedy,Down Periscope,['Comedy'],0116130,9101.0
137,Man of the Year (1995),Documentary,Man of the Year,['Documentary'],0113756,5757.0
140,Up Close and Personal (1996),Drama|Romance,Up Close and Personal,"['Drama', 'Romance']",0118055,9302.0
141,"Birdcage, The (1996)",Comedy,Birdcage,['Comedy'],0115685,11000.0
144,"Brothers McMullen, The (1995)",Comedy,Brothers McMullen,['Comedy'],0112585,16388.0
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Bad Boys,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",0112442,9737.0
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,Amazing Panda Adventure,"['Adventure', 'Children']",0112342,30765.0
147,"Basketball Diaries, The (1995)",Drama,Basketball Diaries,['Drama'],0112461,10474.0
148,"Awfully Big Adventure, An (1995)",Drama,"Awfully Big Adventure, An",['Drama'],0112427,22279.0
149,Amateur (1994),Crime|Drama|Thriller,Amateur,"['Crime', 'Drama', 'Thriller']",0109093,30157.0
150,Apollo 13 (1995),Adventure|Drama|IMAX,Apollo 13,"['Adventure', 'Drama', 'IMAX']",0112384,568.0
151,Rob Roy (1995),Action|Drama|Romance|War,Rob Roy,"['Action', 'Drama', 'Romance', 'War']",0114287,11780.0
152,"Addiction, The (1995)",Drama|Horror,Addiction,"['Drama', 'Horror']",0112288,34996.0
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Batman Forever,"['Action', 'Adventure', 'Comedy', 'Crime']",0112462,414.0
154,Beauty of the Day (Belle de jour) (1967),Drama,Beauty of the Day (Belle de jour),['Drama'],0061395,649.0
155,Beyond Rangoon (1995),Adventure|Drama|War,Beyond Rangoon,"['Adventure', 'Drama', 'War']",0112495,1873.0
